Course Name,Instructor/Institution,Description,Level,Platform,Course Link,Rating
Design Patterns in Python,Dmitri Nesteruk,Discover the modern implementation of design patterns in Python,Intermediate,Udemy,https://www.udemy.com/course/design-patterns-python/,0.6818571880467224
The Complete Python Developer Certification Course,"Imtiaz Ahmad, Job Ready Programmer Inc.",Master Python and pass the PCEP-30-01 and the PCAP-31-02 Exams and become an industry ready python developer!,Intermediate,Udemy,https://www.udemy.com/course/the-complete-python-developer-certification-course/,2.0639661804203016
The Complete Database Design & Modeling Beginners Tutorial,Rares Ilea,Learn Database Design the easy way. Go from simple to complex with a real life example: online store's DB using MySQL.,Beginner,Udemy,https://www.udemy.com/course/the-complete-database-modeling-and-design-beginners-tutorial/,2.2910485529686277
1 Hour CSS,John Bura,Learn how to code in CSS in 1 hour. This class is set up for complete beginners!,Beginner,Udemy,https://www.udemy.com/course/1-hour-css/,0.9727994527532385
"REST API Testing, Automation using POSTMAN",Tejasvi Hegde,"Learn many features of the POSTMAN REST client for testing Restful API's, file uploads, data driven testing & many more.",Intermediate,Udemy,https://www.udemy.com/course/rest-api-testing-automation-using-postman/,2.5314732620613674
Data Structures and Algorithms Bootcamp,Jonathan Rasmusson,How to ace your Silicon Valley style coding interview,Beginner,Udemy,https://www.udemy.com/course/data-structures-and-algorithms-bootcamp/,1.1488575288595695
The Complete Introduction to C++ Programming,Yassin Marco,Learn all the Basics of C++ by practice and the creation of various basic C++ applications,Beginner,Udemy,https://www.udemy.com/course/the-complete-introduction-to-c-programming/,0.8936764344224085
Learn To Code By Making a 2D Platformer in Unity,James Doyle,Game development made easy. Learn C# using Unity and create your very own 2D Platformer,Beginner,Udemy,https://www.udemy.com/course/unity2dplatformer/,0.29872525407286
"Serverless Framework Bootcamp: Node.js, AWS & Microservices",Ariel Weinberger,Learn how to develop reliable and scalable back-end applications effortlessly using Serverless Framework,Intermediate,Udemy,https://www.udemy.com/course/serverless-framework/,2.286434601214594
The Python Programming A-Z Definitive Diploma in 2022,SDE Arts | Octavo,"The Hands-On Guide to Master Modern Python and Data, to Advance your Dev and Data Career in no time!",Intermediate,Udemy,https://www.udemy.com/course/the-ultimate-python-programming-a-z-masterclass/,0.6548819844952085
"Python Programming Bible | Networking, GUI, Email, XML, CGI",Frahaan Hussain,"Python 3 is one of the most popular programming languages. Companies like Facebook, Microsoft and Apple all want Python",Intermediate,Udemy,https://www.udemy.com/course/pythonv3/,2.3164218176274654
Master Network Automation with Python for Network Engineers,"Andrei Dumitrescu, Crystal Mind Academy","Real-Life Hands-On Python and Ansible Automation: Netmiko, Paramiko, Napalm, Telnet, Ansible, Cisco, Arista, Linux etc",Intermediate,Udemy,https://www.udemy.com/course/master-python-network-automation-for-network-engineers/,2.16064418047238
Computer Graphics with Modern OpenGL and C++,Ben Cook,"Learn the theory and code behind modern OpenGL graphical applications so you can make games, simulations and more!",Intermediate,Udemy,https://www.udemy.com/course/graphics-with-modern-opengl/,0.9776858774935666
The Complete HTML5 Course: From Beginning to Expert,Creative Online School,"Master yourself in HTML5: Interactive way, step by step and easy to follow. Great for Absolute Beginners!!",Intermediate,Udemy,https://www.udemy.com/course/interactive-html-course/,1.9992351246694464
Data Science 2022 : Complete Data Science & Machine Learning,"Jitesh Khurkhuriya, Python, Data Science & Machine Learning A-Z Team","Learn and master the Data Science, Python for Machine Learning, Math for Machine Learning, Statistics for Data Science",Intermediate,Udemy,https://www.udemy.com/course/complete-data-science-and-machine-learning-using-python/,2.1515073036443297
Building Recommender Systems with Machine Learning and AI,"Sundog Education by Frank Kane, Frank Kane, Sundog Education Team","How to create machine learning recommendation systems with deep learning, collaborative filtering, and Python.",Intermediate,Udemy,https://www.udemy.com/course/building-recommender-systems-with-machine-learning-and-ai/,0.7920340206097031
Apache Airflow: The Hands-On Guide,Marc Lamberti,"Master Apache Airflow from A to Z. Hands-on videos on Airflow with AWS, Kubernetes, Docker and more",Intermediate,Udemy,https://www.udemy.com/course/the-ultimate-hands-on-course-to-master-apache-airflow/,0.2581746063394945
Data Structures & Algorithms Essentials using C++ (2022),"Prateek Narang, Coding Minutes","Master core computer science concepts by mastering data structures, algorithms & problem solving using C++",Intermediate,Udemy,https://www.udemy.com/course/cpp-data-structures-algorithms-prateek-narang/,1.929112106982312
MS SQL Server: Learn MS SQL Server from Scratch,Oak Academy,"This MS SQL server course teaches how to create database with MS SQL query, to manage SQL database ( MS SQL server )",Beginner,Udemy,https://www.udemy.com/course/ms-sql-server-learn-ms-sql-server-from-scratch/,0.891987550825232
Unit Testing and Test Driven Development in Python,Richard Wells,Learning the discipline of Test Driven Development (also known as TDD) Using the Python Programming Language,Beginner,Udemy,https://www.udemy.com/course/unit-testing-and-tdd-in-python/,0.010564045530392252
Deep Learning: GANs and Variational Autoencoders,"Lazy Programmer Team, Lazy Programmer Inc.","Generative Adversarial Networks and Variational Autoencoders in Python, Theano, and Tensorflow",Intermediate,Udemy,https://www.udemy.com/course/deep-learning-gans-and-variational-autoencoders/,2.284225546219334
Web Scraping In Python: Master The Fundamentals,Maximilian Schallwig,Master web scraping with Python,Intermediate,Udemy,https://www.udemy.com/course/introduction-to-data-exractionweb-scraping-in-python/,0.23012148109093167
Careers in Data Science A-Z™,"Kirill Eremenko, Hadelin de Ponteves, Ligency I Team, Ligency Team","How to Become a Top Level Data Scientist - Learn What to Expect, How to be Prepared, How to Stand Out and More...",Beginner,Udemy,https://www.udemy.com/course/careers-in-data-science-a-ztm/,1.6596554543390138
Python for Statistical Analysis,"Samuel Hinton, Ligency I Team, Ligency Team",Master applied Statistics with Python by solving real-world problems with state-of-the-art software and libraries,Beginner,Udemy,https://www.udemy.com/course/python-for-statistical-analysis/,1.6466615724577895
Introduction to Time Series Analysis and Forecasting in R,R-Tutorials Training,"Work with time series and all sorts of time related data in R - Forecasting, Time Series Analysis, Predictive Analytics",Intermediate,Udemy,https://www.udemy.com/course/time-series-analysis-and-forecasting-in-r/,1.6500762174360906
Microsoft Powerapps Essential Training 2021,"Business World, Shaher Yar Hamid",Create Business Apps Without Coding,Beginner,Udemy,https://www.udemy.com/course/learn-microsoft-powerapps-from-scratch/,1.4953571447901353
Gradle Fundamentals,Jimmy H.,Learn the fundamentals of Gradle,Beginner,Udemy,https://www.udemy.com/course/gradle-fundamentals/,1.7680056589653619
Java Enterprise Edition 8 for Beginners course,"Tim Buchalka's Learn Programming Academy, Luqman Saeed","Understand Jakarta EE, JPA, CDI, JAX-RS, REST, JWT, JSON-P and JSON-B and more. Add ""JEE Developer"" to your résumé!",Intermediate,Udemy,https://www.udemy.com/course/java-enterprise-edition-8/,2.529542585966312
Python Mega Course : Go Beginner to Expert in Python3,Funky Programmer,"Python Programming Beginner to Advanced. MongoDB, SQLite, List, Tuple , OOP, Datastructure etc",Intermediate,Udemy,https://www.udemy.com/course/complete-python-bootcamp-expert-course/,1.5764953580600805
Complete Javascript & jQuery Course with Bonus Vue JS Intro,"Ivan Lourenço Gomes, Learn IT University, Andrii Piatakha","Learn Javascript, jQuery and Ajax from the start + Bonus Intro to Vue JS 3. Incudes complete written course material!",Intermediate,Udemy,https://www.udemy.com/course/learn-javascript-from-beginner-to-advanced/,0.4741643547341644
The Complete SSL and TLS Guide 2022: HTTP to HTTPS,"Bogdan Stashchuk | Software Engineer, MBA, PhD","Configure Cloudflare, FREE Let's Encrypt SSL/TLS certificate, NGINX and Apache web servers, create CSR SSL request",Intermediate,Udemy,https://www.udemy.com/course/ssl-complete-guide/,2.409604864751356
Learn C# By Building Applications,Avetis Ghukasyan,Learn C# 6 and C# 7 by understanding the core concepts and using them to build real world .NET console applications.,Intermediate,Udemy,https://www.udemy.com/course/learn-csharp-by-building-applications/,0.5772834054724499
Java Swing (GUI) Programming: From Beginner to Expert,John Purcell,Learn how to create desktop and Internet GUI Java programs and take your Java programming to the next level.,Intermediate,Udemy,https://www.udemy.com/course/java-swing-complete/,2.6090105534658354
The Complete PHP MYSQL Professional Course with 5 Projects,Jazeb Akram,Learn PHP MYSQL by building 5 Projects including PHP Regular Expressions & CMS | Become a Full Stack Back-End Developer.,Intermediate,Udemy,https://www.udemy.com/course/the-complete-php-mysql-professional-course/,1.1812638341856825
CSS - Basics to Adv for front end development [2022],"EdYoda Digital University, Qaifi Khan","Complete guide to create beautiful, responsive and user-friendly websites using CSS3. Learn CSS3 with hands-on projects",Beginner,Udemy,https://www.udemy.com/course/css-basics-to-advanced/,2.4677019181601016
Testing Spring Boot: Beginner to Guru,"John Thompson • 433,000+ Enrollments Worldwide, Spring Ahead Code Academy","Become an Expert Testing Java and Spring Boot Applications using JUnit 5, Mockito, Spring Boot, and More!",Intermediate,Udemy,https://www.udemy.com/course/testing-spring-boot-beginner-to-guru/,0.8484158630113916
Vue JS 2.0 - Mastering Web Apps,David Joseph Katz,"Create the VueJS 2.0 apps you always wanted. Build 5 apps, learn development secrets, VueRouter, Vuex, & more!",Intermediate,Udemy,https://www.udemy.com/course/vue-web-apps/,0.362832356457539
Data Science Career Guide - Interview Preparation,Jose Portilla,Prepare for your Data Science Interview with this full guide on a career in Data Science including practice questions!,Intermediate,Udemy,https://www.udemy.com/course/data-science-career-guide-interview-preparation/,2.2696691962834623
Elegant Automation Frameworks with Python and Pytest,Brandon Blair,"Fast, scalable, professional-grade framework design",Intermediate,Udemy,https://www.udemy.com/course/elegant-automation-frameworks-with-python-and-pytest/,0.4829561581123265
Asp.Net MVC 5 - Ultimate Guide - In depth & Sample Project,Web University by Harsha Vardhan,"Asp.Net Mvc, Asp.Net Core Mvc, Repository Pattern, Web Api, Asp.Net Identity, Entity Framework",Intermediate,Udemy,https://www.udemy.com/course/complete-aspnet-mvc-5-and-aspnet-core-mvc-course-indepth/,2.498900933256384
Make Your First 2D Game with Unity & C# - Beginner Course,Noa Calice (aka Blackthornprod),Beginner Course to Game Development : Learn how to use Unity and Program in C# by Making a Small 2D Game from A to Z.,Beginner,Udemy,https://www.udemy.com/course/make-your-first-2d-game-with-unity-c-beginner-course/,1.9613827737890162
Django master course with real world practical project 2022,Arash Shahvar,Django from zero to hero :  from learning all basic of python to advanced Django real world website project,Intermediate,Udemy,https://www.udemy.com/course/python-django-tkinter-complete-bundle-advance/,0.29120923078809213
Mule 4 Indepth,Sivaprasad Valluru,Learn mule4 step by step  starting from basics to Advanced and clear mule certification,Intermediate,Udemy,https://www.udemy.com/course/mule-4-indepth/,2.9773414349020126
The Python Developer Essentials 2022 Immersive Bootcamp,Ahmed Ibrahim,Learn the skills you need to become a Professional and Certified Python Developer with this Complete Training Course,Intermediate,Udemy,https://www.udemy.com/course/new-python-programming-the-complete-guide-2021-edition/,0.9901334234010787
Practical Web Design & Development: 7 Courses in 1,Creative Online School,"Master in Practical Web design and development using Photoshop, HTML5, CSS3, Bootstrap and more.",Intermediate,Udemy,https://www.udemy.com/course/learn-web-design-html-css-adobe-photoshop/,0.4612402568788033
Learn T-SQL From Scratch For SQL Server Administrator,Raphael Asghar,All the information needed within the courses to set yourself for a successful career as a SQL Production DBA,Beginner,Udemy,https://www.udemy.com/course/become-a-production-sql-server-administrator/,0.9526510040668776
Getting Started With Apache Cassandra ,Infinite Skills,Learn everything you need to know to use Apache Cassandra,Intermediate,Udemy,https://www.udemy.com/course/apache-cassandra/,0.33759908324579957
Game Development/Art - Create a 2D Action Game with Unity/C#,Noa Calice (aka Blackthornprod),"Game development & Game art/animation. Create a 2D top down shooter using Unity 2018, C# and Ps/Gimp.",Beginner,Udemy,https://www.udemy.com/course/creating-a-cool-2d-action-game-in-unity/,2.628610188104445
.NET 5 Web API & Entity Framework Crash Course,Patrick God,Build your RESTful web service with .NET 5 Web API from the ground up and use Entity Framework to create your database.,Intermediate,Udemy,https://www.udemy.com/course/aspnet-web-api-2-hands-on/,0.4071913679621306
DRUPAL TUTORIAL: Drupal 8 Beginner to Advanced in 8 PROJECTS,Srikanth Shirodkar,"Learn LATEST Drupal 8 Tutorial HANDS-ON with COMPLETE real life examples. BONUS assignments, tips, tricks, and pitfalls!",Beginner,Udemy,https://www.udemy.com/course/drupal-tutorial/,2.4876493018826977
Learn SQL +Security(pen) testing from Scratch,Rahul Shetty,Step by step Tutorial to learn SQL and Web Security testing with real time examples,Intermediate,Udemy,https://www.udemy.com/course/database-testing-tutorial/,1.1622910852997446
HP-UFT 12.0 Automation,Coding Gears | Train Your Brain,Learn the fundamentals of HP-UFT Functional Automation,Intermediate,Udemy,https://www.udemy.com/course/hp-uft-120-automation/,2.9881387642745647
Learn Socket Programming in C from Scratch,"Eduonix Learning Solutions, Eduonix-Tech ., Eduonix Support",Master the socket programming concepts and start building networked applications in C programming language,Intermediate,Udemy,https://www.udemy.com/course/learn-socket-programming-in-c-from-scratch/,0.9930142850235786
Rest Api's in Asp.Net Core and C# 2022 Edition,Asfend Yar Hamid,"Build REST Api's with Asp.Net Core  , Entity Framework Core and C#",Intermediate,Udemy,https://www.udemy.com/course/rest-apis-in-aspnet-core/,2.2020915564473613
OAuth 2.0 in Spring Boot Applications,Sergey Kargopolov,The New OAuth 2.0 Stack in Spring Security 5,Intermediate,Udemy,https://www.udemy.com/course/oauth2-in-spring-boot-applications/,1.8764413900436874
A 16 Hour C# Course With Microsoft Visual Studio 2013,T O,"Quadruple Your Skills: Learn C# , Microsoft Visual Studio 2013, Debugging and SQL Server Basics!",Intermediate,Udemy,https://www.udemy.com/course/csharpbasics/,0.17669311200991622
Asp.Net Core : The Complete Guide To Build RESTful Api's,Asfend Yar Hamid,"Learn to build secure RESTful Api's with Asp.Net Core, Entity Framework and C# with .NET 7 2022",Intermediate,Udemy,https://www.udemy.com/course/restful-apis-in-aspnet-core/,0.8315235877867552
The Complete GitHub Actions & Workflows Guide,Ali Alaa,"Automate Code Testing, Deployment & Versioning using CI/CD Workflows. Create & Publish GitHub Actions to the Marketplace",Intermediate,Udemy,https://www.udemy.com/course/github-actions/,0.8573595534275216
SQL- The Complete Introduction to SQL programming,Yassin Marco,Learn the basics of SQL programming and Data manipulation with the use SQL,Beginner,Udemy,https://www.udemy.com/course/sql-the-complete-introduction-to-sql-programming/,1.8128714039487774
Learn Perl 5 By Doing It,John Purcell,"Learn Perl by actually creating useful, working Perl programs for everything from web scraping to fixing your data.",Intermediate,Udemy,https://www.udemy.com/course/perltutorial/,0.038162551010791135
Build a Serverless App with AWS Lambda - Hands On!,"Sundog Education by Frank Kane, Brian Tajuddin, Frank Kane, Sundog Education Team","Create a chat web app using Amazon Web Services - Lambda, DynamoDB, API Gateway, S3, Cognito, CloudFront, and more.",Beginner,Udemy,https://www.udemy.com/course/build-a-serverless-app-with-aws-lambda-hands-on/,2.6308060523148105
Python Programming Beginners Tutorial : Python 3 Programming,Ajay Tech,Python for Beginners Tutorial : Learn Python for Programmers : Python Programming Tutorial for Beginners : Best Python 3,Beginner,Udemy,https://www.udemy.com/course/a-laymans-guide-to-python/,2.480241033655926
Implement High Fidelity Designs with Material-UI and ReactJS,Zachary Reece,Bridge the gap between Design & Development! Break down detailed designs and bring them to life with Material-UI/React.,Intermediate,Udemy,https://www.udemy.com/course/implement-high-fidelity-designs-with-material-ui-and-reactjs/,0.0572754824081283
Learn Complete Front-End Web Development Course (2022),Fatah Gabrial,"Learn Complete Front End Web Development with HTML5, CSS3, Bootstrap 5, JavaScript, ECMAScript 6, Angular & React JS",Intermediate,Udemy,https://www.udemy.com/course/front-end-web-development-complete-guide-step-by-step/,0.3336026624181575
Regular Expressions for Beginners - Universal,"Edwin Diaz, Coding Faculty Solutions",Learn to use Regular Expressions (Regex) in all programming languages and tools the easy way with Edwin Diaz,Intermediate,Udemy,https://www.udemy.com/course/regular-expressions-for-beginners-universal/,0.8487458414194932
Azure Serverless Functions and Logic Apps,"Scott Duffy  • 800.000+ Students, Software Architect.ca","Learn about the new Serverless model for Cloud Apps, using Azure Functions, Logic Apps, and Event Grid.",Beginner,Udemy,https://www.udemy.com/course/azure-serverless/,2.6703013884444577
Practical Test Driven Development for Java Programmers,"Matt Greencroft, Virtual Pair Programmers","A truly practical approach to the fundamentals of test driven development in Java, featuring JUnit and Mockito,",Beginner,Udemy,https://www.udemy.com/course/practical-test-driven-development-for-java-programmers/,1.284817526766424
Build a Blockchain & Cryptocurrency | Full-Stack Edition,David Joseph Katz,"Updated for 2022-23: full-stack blockchain+crypto course! A backend + frontend with Node.js, Express, React, & more!",Intermediate,Udemy,https://www.udemy.com/course/build-blockchain-full-stack/,1.2001713767549007
SQL Server Administration Part 2,Raphael Asghar,"Learn how to optimize, improve performance, review and analysis statistics, use monitoring tools,  and create indexes",Beginner,Udemy,https://www.udemy.com/course/sql-server-administration-part-2/,0.9603254652587968
"(Jetpack, Architecture & More)Advanced Android Bootcamp 2022",Anushka Madusanka,"Android App Development with Jetpack, Compose, MVVM Clean Architecture, Dagger/Hilt, Coroutines, Testing, Retrofit, ...",Intermediate,Udemy,https://www.udemy.com/course/android-architecture-componentsmvvm-with-dagger-retrofit/,1.5739550665172697
Data Processing with Logstash (and Filebeat),Bo Andersen,"Process data with Logstash, which is a key part of the ELK stack (Elasticsearch, Logstash, Kibana) and Elastic Stack.",Intermediate,Udemy,https://www.udemy.com/course/processing-events-with-logstash/,1.8723312576531461
Build Your Own First Person Shooter / Survival Game in Unity,Game Institute Inc.,Part I: Create and Design Artificially Intelligent Game Characters with Advanced Animation Systems,Intermediate,Udemy,https://www.udemy.com/course/build-your-own-first-person-shooter-survival-game-in-unity/,2.4832783132102874
"Python for Network Engineers: Netmiko, NAPALM, pyntc, Telnet","David Bombal, Experts with David Bombal",Program networks using Python. Learn network automation and programmability with this practical course (Cisco networks),Beginner,Udemy,https://www.udemy.com/course/python-for-network-engineers-netmiko-napalm-pyntc-telnet-ssh-automate/,1.1061833019044984
Lua Programming and Game Development with LÖVE,Kyle Schaub,"Learn the basics of programming, then use that knowledge to create games with the beginner-friendly game engine: Love2D!",Intermediate,Udemy,https://www.udemy.com/course/lua-love/,0.26902547284186684
Learn PHP Fundamentals From Scratch,"Eduonix Learning Solutions, Eduonix-Tech .",A Short Course on PHP Basics,Beginner,Udemy,https://www.udemy.com/course/learn-php-fundamentals-from-scratch/,0.6593379723127185
The Beginner's Guide to Artificial Intelligence (Unity 2022),"Penny de Byl, Penny @Holistic3D.com",A practical guide to programming non-player characters for games in the Unity Game Engine with C#,Beginner,Udemy,https://www.udemy.com/course/artificial-intelligence-in-unity/,2.434100433781755
Azure Devops Crash Course -Build CI/CD release pipelines,Rahul Shetty,"Step by step Tutorial to understand CI/CD pipelines ,Release activities, Docker, Code  Repos, Project Boards, in Azure",Intermediate,Udemy,https://www.udemy.com/course/azure-devops-fundamental/,2.063888885905707
Android N: From Beginner to Paid Professional,"Mark Wahlbeck, Devslopes by Mark Wahlbeck",Comprehensive Android Nougat app development,Intermediate,Udemy,https://www.udemy.com/course/learn-android/,2.2249707462046864
Create eLearning Courses with Articulate Storyline 360,Jeff Batt,In this course we cover everything from A-Z within Articulate Storyline.,Beginner,Udemy,https://www.udemy.com/course/create-elearning-courses-with-articulate-storyline-360-or-3/,0.04146991610128392
Docker - Hands On for Java Developers,"Richard Chesterwood, Virtual Pair Programmers","Get real world, hands-on experience with Docker - deploy a Java Microservice Architecture using Docker and Docker Swarm",Intermediate,Udemy,https://www.udemy.com/course/docker-hands-on/,1.706712796876591
Angular Core Deep Dive - Beginner to Advanced (Angular 14),Angular University,Updated to Angular 14: Learn all the Advanced Features of the Angular Core and Common modules,Intermediate,Udemy,https://www.udemy.com/course/angular-course/,1.19064535534529
Unit Testing Dotnet (.NET) Application with xUnit .net & MOQ,Aref Karimi,"Mocking Techniques, Test Driven Development (TDD), and Unit Testing Legacy Code with xUnit. NET + Interview Questions",Intermediate,Udemy,https://www.udemy.com/course/unit-testing-net-core-2x-applications-with-xunit-net/,1.5805171325444127
The Complete ARKit Course - Build 11 Augmented Reality Apps,"Codestars • over 2 million students worldwide!, Rayan Slim, Rob Percival, Jad Slim",Become an iOS Augmented Reality Developer by Building 11 High-Level AR Apps using ARKit in iOS 11 and Swift 4.,Intermediate,Udemy,https://www.udemy.com/course/ios-augmented-reality-the-complete-course-on-arkit/,1.2706648571444976
Complete Machine Learning with R Studio - ML for 2022,Start-Tech Academy,"Linear & Logistic Regression, Decision Trees, XGBoost, SVM & other ML models in R programming language - R studio",Intermediate,Udemy,https://www.udemy.com/course/machine-learning-with-r-studio/,2.0605173639827807
Deep Learning with TensorFlow 2.0 [2022],"365 Careers, 365 Careers Team","Build Deep Learning Algorithms with TensorFlow 2.0, Dive into Neural Networks and Apply Your Skills in a Business Case",Intermediate,Udemy,https://www.udemy.com/course/machine-learning-with-tensorflow-for-business-intelligence/,0.033942238055928775
Learn Ionic 3 From Scratch,Paul Halliday (BSc Hons),"Create Cross Platform Mobile Applications with Ionic 3, Angular 4, TypeScript and Firebase.",Intermediate,Udemy,https://www.udemy.com/course/learn-ionic-3-from-scratch/,2.053736340237088
Distributed Systems & Cloud Computing with Java,Michael Pogrebinsky | Software Architecture & Java Programming Expert,"Learn Distributed Java Applications at Scale, Parallel Programming, Distributed Computing & Cloud Software Architecture",Intermediate,Udemy,https://www.udemy.com/course/distributed-systems-cloud-computing-with-java/,1.6386661342384263
OpenAPI: Beginner to Guru,"John Thompson • 433,000+ Enrollments Worldwide, Spring Ahead Code Academy",Master OpenAPI (formerly Swagger) to Create Specifications for Your APIs,Intermediate,Udemy,https://www.udemy.com/course/openapi-beginner-to-guru/,1.1599528521869424
SDET/Test Architect Essentials -Road to Full stack QA,"QA Test Academy, Rahul Shetty",Advanced Tutorial to Learn essential skills needed to transform your career from QA Engineer to SDET/Test Architect,Intermediate,Udemy,https://www.udemy.com/course/sdettraining-testarchitect-fullstackqa/,0.3413537365395938
REST WCF Service in ASP.NET,Patrick God,Learn how to build a RESTful WCF Service in an ASP.NET web application and call its methods with JQuery.,Intermediate,Udemy,https://www.udemy.com/course/rest-wcf-service-in-aspnet/,0.6674820624853971
ASP .Net MVC Quick Start,Brian Gorman,"Build your own public-facing CRUD (Create, Read, Update, Delete) website w/MVC and Entity Framework in a weekend.",Intermediate,Udemy,https://www.udemy.com/course/aspnet-mvc-quick-start/,2.8971791805797493
Mainframe: The Complete COBOL Course From Beginner To Expert,Sandeep Kumar,Become an Expert on COBOL Programs by coding it. Run COBOL Programs with JCL. Basic TSO/ISPF operations are also covered,Intermediate,Udemy,https://www.udemy.com/course/mainframe-the-complete-cobol-course-from-beginner-to-expert/,1.4895229988705305
Complete Wordpress Website Developer Course,Shubham Saurav,"Learn WordPress step by step to make beautiful blogs, websites,e-commerce sites to start your business ONLINE.",Intermediate,Udemy,https://www.udemy.com/course/the-complete-wordpress-developer-course-w/,0.7109806158221814
Python for Beginners - Learn Programming from scratch,"Edwin Diaz, Coding Faculty Solutions",Python For Beginners : This course is meant for absolute beginners in programming or in python.,Intermediate,Udemy,https://www.udemy.com/course/python-for-beginners-learn-programming-from-scratch/,1.0699016639754952
Project Development Using JAVA for Beginners - 2022,Hemanth kumar,Learn Java from scratch and become Software Engineer.,Intermediate,Udemy,https://www.udemy.com/course/project-development-using-java-for-beginners-2020/,0.5574033857810997
Learn Cucumber BDD From Scratch+ Automation Framework Design,Dezlearn Education,"Highest Rated Course on Cucumber BDD! Learn Cucumber with Java, Maven, JUnit, Selenium WebDriver, Page Object Model.",Intermediate,Udemy,https://www.udemy.com/course/cucumber-from-scratch/,1.2521135081516523
Just Express (with a bunch of node and http). In detail.,Robert Bunch,"No MERN or MEAN... just Express js. For those who've learned a bit about the most awesome node framework, and want more.",Intermediate,Udemy,https://www.udemy.com/course/just-express-with-a-bunch-of-node-and-http-in-detail/,1.9178282484789477
Unity C# Scripting : Complete C# For Unity Game Development,"Raja Biswas, Charger Games","Learn C# Scripting for Unity Game Development from Basics, Create your own 3D & 2D Games With Unity & C#. (2022 Updated)",Beginner,Udemy,https://www.udemy.com/course/unity-c-sharp-scripting/,2.2918044242816364
ISTQB Certified Tester - Foundation Level 2022 - Accredited,Wouter Vrijen,An ISTQB Accredited course for the Certified Tester Foundation Level (CTFL) on the 2018 Syllabus.,Intermediate,Udemy,https://www.udemy.com/course/accredited-istqb-certified-tester-foundation-level-course/,1.5565428542348851
IntelliJ IDEA Tricks to Boost Productivity for Java Devs,"Tao W., James Lee",Fast Coding Tricks of IntelliJ IDEA that Every Java Developer Should Know. Instant Productivity Boost Tutorial.,Intermediate,Udemy,https://www.udemy.com/course/intellij-idea-secrets-double-your-coding-speed-in-2-hours/,0.2277813415411536
Learn RabbitMQ: Asynchronous Messaging with Java and Spring,Niyazi Erdogan,"Learn how to develop Queues, Exchanges, Routings and Listeners with Rabbit MQ using Java and Spring!",Intermediate,Udemy,https://www.udemy.com/course/learn-rabbitmq-asynchronous-messaging-with-java-and-spring/,1.5620479529337024
"Laravel 2019, the complete guide with real world projects",Kati Frantz,Build simple to advanced web applications using the PHP's most popular web framework - Completely re-recorded for 5.8,Intermediate,Udemy,https://www.udemy.com/course/best-laravel/,2.286846458402683
GUI Development with Python and Tkinter,"Jose Salvatierra, Teclado by Jose Salvatierra",Master Python GUI development using Tkinter to build desktop applications!,Intermediate,Udemy,https://www.udemy.com/course/desktop-gui-python-tkinter/,0.8651096921962682
The Complete JavaScript Course - Beginner to Professional,"Codestars • over 2 million students worldwide!, Laurence Svekis, Rob Percival","The only course you need to become a JavaScript developer - 45 JavaScript projects, ES6, JSON, AJAX & much more!",Intermediate,Udemy,https://www.udemy.com/course/javascript-training/,2.092200865426562
Python OOP - Object Oriented Programming for Beginners,Estefania Cassingena Navone,"Learn Object Oriented Programming in Python with Step-by-Step Video Lectures, Projects, Exercises, Diagrams and More.",Beginner,Udemy,https://www.udemy.com/course/python-object-oriented-programming-oop/,2.9491398452303987
Java Basics: Learn to Code the Right Way,Grant Klimaytys,"Learn Java Using this Course, Then Move on to Make Desktop, Web and Android Applications!",Beginner,Udemy,https://www.udemy.com/course/learn-java-programming/,2.9694593469699146
Learn C++ by Creating,Andrew Volk,Learn Programming Basics in C++ with a project based approach,Beginner,Udemy,https://www.udemy.com/course/learn-to-program-cpp/,2.9757126136838297
Git & GitHub For Beginners - Master Git and GitHub (2021),Vlad Budnitski,Git & GitHub Masterclass for Beginners - Master Practical Key Concepts and Workflow of Git and Git Hub (Let's GIT IT!),Beginner,Udemy,https://www.udemy.com/course/git-and-github-crash-course/,0.5761962440699445
Modern JavaScript for React JS - ES6 [2022],"EdYoda Digital University, Qaifi Khan",A complete guide for beginners to learn the essential topics of ES6 which are required to learn React JS,Intermediate,Udemy,https://www.udemy.com/course/modern-javascript-es6-for-react-js/,0.5677386062340047
Python 3: Deep Dive (Part 4 - OOP),Fred Baptiste,Python Object Oriented Programming (OOP),Intermediate,Udemy,https://www.udemy.com/course/python-3-deep-dive-part-4/,0.6242656637662999
Complete WordPress Developer Course 2023 - Plugins & Themes,Luis Ramirez Jr,Learn how to develop WordPress themes and plugins. Includes React and Gutenberg development.,Intermediate,Udemy,https://www.udemy.com/course/wordpress-development-create-wordpress-themes-and-plugins/,2.241783430937833
Learn C#.Net Core With Real World Examples,Manzoor Ahmed,"C# with .Net Framework, .Net Core And .Net Standard Libraries. Inheritance, Polymorphism, dlls, Collections with LINQ...",Intermediate,Udemy,https://www.udemy.com/course/csharp-from-scratch/,0.32163685511516027
Become a Junior Java Software Developer,Tim Short,Complete practical and conceptual Java programming course for beginners,Beginner,Udemy,https://www.udemy.com/course/become-a-junior-java-software-developer/,2.999573692503782
From 0 to 1: The Cassandra Distributed Database,Loony Corn,A complete guide to getting started with cluster management and queries on Cassandra,Intermediate,Udemy,https://www.udemy.com/course/from-0-to-1-the-cassandra-distributed-database/,2.825409402502213
